name,simrank,weighted simrank
Eli Ben-Sasson,0.0111410013539,0.0171718447663
Madars Virza,0.0108176378867,0.0193942956688
Leonid Reyzin,0.00950601452945,0.00708830704773
Nir Bitansky,0.0379564396957,0.0444436635096
Daniel Genkin,0.0410556873497,0.0713574123701
